feature,target_correlation,dropped_for_redundancy
Pclass,0.3384810359610144,False
Age,0.07696278632896766,False
SibSp,0.03532249888573552,False
Parch,0.08162940708348335,False
Fare,0.3174303998877341,True
Age_Missing,0.09219652324217247,False
Cabin_Missing,0.3169115231122958,True
FamilySize,0.016638989282745254,True
IsAlone,0.20336708569989193,False
FarePerPerson,0.2703934093682648,False
FareLog,0.32190155523884745,False
Sex_female,0.543351380657755,True
Sex_male,0.543351380657755,True
Embarked_C,0.16824043121823287,False
Embarked_Q,0.0036503826839719075,False
Embarked_S,0.15566027340439323,False
Title_Master,0.08522056083929429,False
Title_Miss,0.33563552076872605,False
Title_Mr,0.5491991849030085,False
Title_Mrs,0.3419937262857559,False
Title_Rare,0.0120540601971145,False
Deck_Known,0.316911523112296,False
Deck_Unknown,0.3169115231122958,True
AgeGroup_Child,0.11669142503581789,False
AgeGroup_Teen,0.018958268473926083,False
AgeGroup_Adult,0.015656221258628988,False
AgeGroup_Senior,0.05122434744268278,False
