feature,importance
Age,0.1766146090934862
Title_Mr,0.15848612522650948
FarePerPerson,0.14331197575742152
FareLog,0.140932690324071
Title_Miss,0.06348610037028235
Title_Mrs,0.06068169438106045
Pclass,0.05555391859062577
SibSp,0.03798098929359059
Deck_Known,0.034872822179539166
Parch,0.02151122895095633
Embarked_S,0.014725072683203421
AgeGroup_Adult,0.01390201128141306
IsAlone,0.013374803490165328
Embarked_C,0.012900535629485161
Title_Rare,0.010688809692319366
Age_Missing,0.008193512689841819
Embarked_Q,0.008045480876399568
AgeGroup_Child,0.007760161804955552
AgeGroup_Teen,0.006754842812488908
Title_Master,0.005789483709768432
AgeGroup_Senior,0.004433131162416404
